"Label (Grouping)","Census Tract 73.01; District of Columbia; District of Columbia!!Estimate","Census Tract 73.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 73.04; District of Columbia; District of Columbia!!Estimate","Census Tract 73.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.01; District of Columbia; District of Columbia!!Estimate","Census Tract 74.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.03; District of Columbia; District of Columbia!!Estimate","Census Tract 74.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.04; District of Columbia; District of Columbia!!Estimate","Census Tract 74.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.06; District of Columbia; District of Columbia!!Estimate","Census Tract 74.06; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.07; District of Columbia; District of Columbia!!Estimate","Census Tract 74.07; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.08; District of Columbia; District of Columbia!!Estimate","Census Tract 74.08; District of Columbia; District of Columbia!!Margin of Error","Census Tract 74.09; District of Columbia; District of Columbia!!Estimate","Census Tract 74.09; District of Columbia; District of Columbia!!Margin of Error","Census Tract 75.02; District of Columbia; District of Columbia!!Estimate","Census Tract 75.02; District of Columbia; District of Columbia!!Margin of Error","Census Tract 75.03; District of Columbia; District of Columbia!!Estimate","Census Tract 75.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 75.04; District of Columbia; District of Columbia!!Estimate","Census Tract 75.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 76.01; District of Columbia; District of Columbia!!Estimate","Census Tract 76.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 76.03; District of Columbia; District of Columbia!!Estimate","Census Tract 76.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 76.04; District of Columbia; District of Columbia!!Estimate","Census Tract 76.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 76.05; District of Columbia; District of Columbia!!Estimate","Census Tract 76.05; District of Columbia; District of Columbia!!Margin of Error","Census Tract 77.03; District of Columbia; District of Columbia!!Estimate","Census Tract 77.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 77.07; District of Columbia; District of Columbia!!Estimate","Census Tract 77.07; District of Columbia; District of Columbia!!Margin of Error","Census Tract 77.08; District of Columbia; District of Columbia!!Estimate","Census Tract 77.08; District of Columbia; District of Columbia!!Margin of Error","Census Tract 77.09; District of Columbia; District of Columbia!!Estimate","Census Tract 77.09; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.03; District of Columbia; District of Columbia!!Estimate","Census Tract 78.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.04; District of Columbia; District of Columbia!!Estimate","Census Tract 78.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.06; District of Columbia; District of Columbia!!Estimate","Census Tract 78.06; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.07; District of Columbia; District of Columbia!!Estimate","Census Tract 78.07; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.08; District of Columbia; District of Columbia!!Estimate","Census Tract 78.08; District of Columbia; District of Columbia!!Margin of Error","Census Tract 78.09; District of Columbia; District of Columbia!!Estimate","Census Tract 78.09; District of Columbia; District of Columbia!!Margin of Error","Census Tract 96.01; District of Columbia; District of Columbia!!Estimate","Census Tract 96.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 96.02; District of Columbia; District of Columbia!!Estimate","Census Tract 96.02; District of Columbia; District of Columbia!!Margin of Error","Census Tract 96.03; District of Columbia; District of Columbia!!Estimate","Census Tract 96.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 96.04; District of Columbia; District of Columbia!!Estimate","Census Tract 96.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 97; District of Columbia; District of Columbia!!Estimate","Census Tract 97; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.01; District of Columbia; District of Columbia!!Estimate","Census Tract 98.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.02; District of Columbia; District of Columbia!!Estimate","Census Tract 98.02; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.03; District of Columbia; District of Columbia!!Estimate","Census Tract 98.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.04; District of Columbia; District of Columbia!!Estimate","Census Tract 98.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.07; District of Columbia; District of Columbia!!Estimate","Census Tract 98.07; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.10; District of Columbia; District of Columbia!!Estimate","Census Tract 98.10; District of Columbia; District of Columbia!!Margin of Error","Census Tract 98.11; District of Columbia; District of Columbia!!Estimate","Census Tract 98.11; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.01; District of Columbia; District of Columbia!!Estimate","Census Tract 99.01; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.02; District of Columbia; District of Columbia!!Estimate","Census Tract 99.02; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.03; District of Columbia; District of Columbia!!Estimate","Census Tract 99.03; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.04; District of Columbia; District of Columbia!!Estimate","Census Tract 99.04; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.05; District of Columbia; District of Columbia!!Estimate","Census Tract 99.05; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.06; District of Columbia; District of Columbia!!Estimate","Census Tract 99.06; District of Columbia; District of Columbia!!Margin of Error","Census Tract 99.07; District of Columbia; District of Columbia!!Estimate","Census Tract 99.07; District of Columbia; District of Columbia!!Margin of Error","Census Tract 104; District of Columbia; District of Columbia!!Estimate","Census Tract 104; District of Columbia; District of Columbia!!Margin of Error","Census Tract 109; District of Columbia; District of Columbia!!Estimate","Census Tract 109; District of Columbia; District of Columbia!!Margin of Error"
"Total:","1,935","±314","1,322","±588","280","±133","707","±243","987","±265","766","±406","1,139","±286","787","±374","1,201","±423","1,105","±381","722","±214","1,277","±470","1,059","±390","1,531","±424","1,584","±317","1,438","±437","2,531","±866","1,637","±412","849","±380","612","±251","1,410","±369","958","±394","752","±226","822","±182","1,141","±354","776","±273","628","±212","1,493","±344","1,321","±345","784","±242","1,400","±426","404","±124","413","±156","844","±314","801","±257","1,194","±380","300","±195","1,216","±412","566","±130","1,345","±729","757","±203","879","±279","913","±275","584","±162","830","±358","1,898","±726","1,222","±353"
"    Less than 5 minutes","114","±119","29","±74","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","12","±22","0","±15","0","±21","0","±15","0","±15","0","±15","3","±4","0","±15","0","±15","0","±15","0","±15","0","±15","0","±15","0","±21","0","±15","0","±15","43","±63","0","±15","0","±15","25","±41","0","±15","0","±15","1","±13","0","±15","0","±15","0","±15","0","±15","0","±15","41","±65","1","±2","2","±4","169","±244","82","±79"
"    5 to 9 minutes","321","±115","36","±56","0","±15","0","±15","49","±59","0","±15","0","±15","42","±53","0","±15","0","±15","26","±30","0","±15","7","±12","0","±15","103","±91","0","±15","0","±21","87","±84","0","±15","0","±15","67","±94","16","±26","14","±23","9","±13","0","±15","4","±9","63","±62","8","±12","14","±24","10","±14","0","±15","9","±15","0","±15","22","±34","0","±15","89","±97","0","±15","0","±15","0","±15","0","±15","12","±18","0","±15","163","±155","17","±22","7","±15","12","±37","117","±148"
"    10 to 14 minutes","273","±93","95","±105","0","±15","151","±147","65","±49","0","±15","91","±102","0","±15","0","±15","79","±81","146","±103","11","±17","0","±15","0","±15","160","±93","42","±67","56","±56","10","±16","188","±127","0","±15","29","±47","53","±97","65","±91","0","±15","44","±46","0","±15","1","±2","199","±162","136","±132","55","±60","0","±15","54","±46","7","±10","12","±20","0","±15","3","±34","8","±16","26","±40","10","±15","66","±85","12","±18","0","±15","0","±15","40","±47","12","±26","199","±125","24","±63"
"    15 to 19 minutes","257","±198","200","±199","8","±14","39","±48","110","±77","203","±172","112","±72","122","±190","139","±95","259","±213","163","±125","136","±110","217","±201","222","±233","129","±101","107","±105","136","±192","189","±129","83","±116","34","±36","55","±60","261","±349","57","±90","112","±90","126","±116","99","±94","51","±49","139","±148","182","±139","100","±70","170","±93","136","±71","31","±33","70","±60","68","±75","22","±27","93","±148","127","±116","80","±57","255","±304","98","±78","41","±48","62","±58","0","±15","67","±55","46","±49","311","±196"
"    20 to 24 minutes","163","±100","0","±21","0","±15","66","±52","114","±134","83","±92","175","±144","48","±57","58","±79","138","±96","78","±53","34","±42","224","±190","45","±59","154","±138","185","±119","52","±73","222","±140","13","±20","71","±77","283","±183","95","±123","190","±120","143","±126","156","±93","0","±15","18","±30","330","±164","150","±114","69","±55","30","±54","61","±63","28","±32","108","±97","49","±57","291","±161","50","±57","294","±193","26","±25","90","±78","181","±78","112","±69","148","±120","41","±38","106","±66","313","±166","204","±129"
"    25 to 29 minutes","258","±170","75","±95","0","±15","55","±88","51","±63","160","±155","103","±80","0","±15","0","±15","65","±81","28","±46","56","±57","115","±120","167","±120","295","±263","100","±119","294","±269","58","±56","15","±40","11","±18","168","±130","59","±54","13","±21","57","±47","258","±170","102","±113","7","±12","106","±96","142","±136","9","±16","0","±15","0","±15","27","±33","28","±45","82","±46","185","±165","0","±15","4","±30","0","±15","157","±94","47","±58","119","±119","47","±67","37","±38","24","±39","168","±126","112","±139"
"    30 to 34 minutes","218","±94","698","±507","197","±136","19","±32","313","±132","142","±169","306","±139","178","±128","222","±152","71","±58","31","±23","363","±241","262","±147","400","±348","186","±126","255","±172","873","±500","362","±268","205","±161","202","±116","182","±100","231","±205","89","±45","101","±61","115","±110","123","±107","217","±125","324","±172","221","±135","149","±111","200","±137","45","±34","96","±68","105","±93","111","±93","135","±103","79","±103","82","±122","158","±93","105","±94","150","±83","267","±173","210","±95","77","±66","121","±76","287","±316","203","±134"
"    35 to 39 minutes","130","±144","0","±21","0","±15","0","±15","93","±113","0","±15","44","±40","0","±15","0","±15","18","±25","48","±54","47","±71","45","±31","0","±15","117","±99","57","±71","97","±136","51","±82","61","±73","0","±15","76","±74","0","±15","0","±15","0","±15","172","±156","89","±84","17","±18","45","±54","0","±15","0","±15","0","±15","0","±15","0","±15","75","±89","73","±74","85","±98","0","±15","149","±220","25","±33","94","±93","103","±77","62","±70","36","±53","84","±67","0","±15","59","±77","0","±15"
"    40 to 44 minutes","49","±67","153","±136","14","±18","50","±69","0","±15","0","±15","49","±77","65","±85","2","±4","0","±15","0","±15","0","±15","0","±15","44","±56","143","±115","67","±86","121","±156","224","±191","64","±95","32","±40","24","±35","159","±136","49","±45","105","±77","31","±33","57","±63","65","±62","49","±63","17","±27","128","±98","329","±429","8","±12","30","±31","48","±59","71","±61","30","±49","0","±15","60","±97","74","±55","62","±74","41","±43","62","±73","15","±20","50","±38","296","±293","327","±405","0","±15"
"    45 to 59 minutes","73","±54","25","±42","61","±50","150","±140","120","±110","97","±100","128","±85","86","±77","195","±148","196","±151","149","±111","325","±231","95","±86","290","±160","145","±84","316","±308","246","±319","312","±187","76","±87","96","±86","290","±197","42","±43","206","±77","201","±81","214","±191","128","±105","111","±83","227","±182","267","±166","140","±89","393","±297","40","±39","37","±34","174","±142","130","±103","133","±108","0","±15","259","±207","129","±72","135","±84","26","±27","81","±63","106","±102","21","±29","145","±99","244","±142","81","±125"
